        vg_image_id,topname,altname,responses,domain
2316240,man,person,"{'man': 14, 'person': 4, 'people': 3, 'family': 3}",people
2316242,hat,,{'hat': 31},clothing
2316243,plane,airplane,"{'plane': 18, 'airplane': 16}",vehicles
2316244,marina,docks,"{'marina': 13, 'docks': 6, 'port': 3, 'harbor': 3}",buildings
2316247,cow,,{'cow': 32},animals_plants
2316254,bench,chair,"{'bench': 28, 'chair': 3}",home
2316257,desk,table,"{'desk': 23, 'table': 6}",home
2316258,shirt,sweater,"{'shirt': 17, 'sweater': 5, 't-shirt': 3, 'clothing': 2, 'dress': 2}",clothing
2316261,cat,,{'cat': 32},animals_plants
2316265,cake,wedding cake,"{'cake': 33, 'wedding cake': 3}",food
2316267,shirt,t-shirt,"{'shirt': 29, 't-shirt': 3, 'polo': 2}",clothing
2316272,train,engine,"{'train': 33, 'engine': 2}",vehicles
2316279,cat,animal,"{'cat': 27, 'animal': 2}",animals_plants
2316280,shirt,dress,"{'shirt': 26, 'dress': 3, 'blouse': 2, 't-shirt': 2}",clothing
2316282,woman,dress,"{'woman': 28, 'dress': 3, 'female': 1}",people
2316287,man,,{'man': 28},people
2316298,counter,kitchen counter,"{'counter': 13, 'kitchen counter': 5, 'cabinets': 4, 'sink': 3, 'countertop': 3, 'cabinetry': 2, 'table': 1}",home
2316301,child,toddler,"{'child': 17, 'toddler': 4, 'boy': 3, 'kid': 3, 'baby': 3, 'girl': 2, 'person': 1}",people
2316309,giraffe,,{'giraffe': 32},animals_plants
2316310,horse,,{'horse': 34},animals_plants
2316313,car,automobile,"{'car': 34, 'automobile': 1}",vehicles
2316315,zebra,,{'zebra': 26},animals_plants
2316318,bench,chair,"{'bench': 29, 'chair': 5}",home
2316324,shirt,,{'shirt': 26},clothing
2316325,woman,tennis player,"{'woman': 17, 'player': 4, 'tennis player': 4, 'person': 2, 'female': 1}",people
2316327,woman,lady,"{'woman': 30, 'lady': 2}",people
2316339,chair,sofa,"{'chair': 21, 'sofa': 8, 'armchair': 3, 'seat': 1}",home
2316341,giraffe,,{'giraffe': 36},animals_plants
2316345,sandwich,food,"{'sandwich': 28, 'food': 4}",food
2316349,dog,,{'dog': 34},animals_plants
2316355,pizza,,{'pizza': 35},food
2316365,sheep,goat,"{'sheep': 29, 'goat': 4}",animals_plants
2316370,airplane,plane,"{'airplane': 20, 'plane': 15}",vehicles
2316372,bed,,{'bed': 35},home
2316381,house,building,"{'house': 24, 'building': 3}",buildings
2316392,table,,{'table': 27},home
2316395,dog,,{'dog': 32},animals_plants
2316399,shirt,sweater,"{'shirt': 19, 'sweater': 7, 'blouse': 2, 'clothing': 2, 'cardigan': 2}",clothing
2316400,motorcycle,bike,"{'motorcycle': 26, 'bike': 5, 'motorbike': 3}",vehicles
2316401,woman,tennis player,"{'woman': 22, 'tennis player': 6, 'player': 3}",people
2316404,car,automobile,"{'car': 26, 'automobile': 1}",vehicles
2316407,girl,child,"{'girl': 23, 'child': 7}",people
2316418,giraffe,,{'giraffe': 36},animals_plants
2316419,horse,,{'horse': 30},animals_plants
2316420,airplane,plane,"{'airplane': 17, 'plane': 16, 'jet': 3}",vehicles
2316425,cake,dessert,"{'cake': 21, 'dessert': 7, 'food': 4, 'pastry': 2}",food
2316427,horse,,{'horse': 30},animals_plants
2316429,dog,,{'dog': 29},animals_plants
2316439,carpet,floor,"{'carpet': 14, 'floor': 5, 'rug': 3, 'couch': 3}",home
2316450,vase,bowl,"{'vase': 28, 'bowl': 5}",home
2316452,beer,wine,"{'beer': 17, 'wine': 4, 'drink': 3}",food
2316457,boy,child,"{'boy': 14, 'child': 12, 'girl': 3, 'kid': 3}",people
2316462,table,tray table,"{'table': 20, 'tray table': 3, 'tray': 2}",home
2316467,man,skateboarder,"{'man': 12, 'skateboarder': 9, 'skater': 6, 'person': 3}",people
2316479,skateboarder,person,"{'skateboarder': 12, 'man': 6, 'skater': 6, 'person': 6, 'kid': 2, 'boy': 2}",people
2316480,dog,,{'dog': 36},animals_plants
2316485,blender,cup,"{'blender': 10, 'container': 6, 'cup': 6, 'silverware': 5, 'pitcher': 3}",home
2316488,desk,table,"{'desk': 22, 'table': 4, 'desktop': 4}",home
2316490,floor,carpet,"{'floor': 13, 'carpet': 12, 'rug': 5}",home
2316493,bowl,,{'bowl': 23},home
2316495,boat,,{'boat': 31},vehicles
2316497,plane,airplane,"{'airplane': 15, 'plane': 15, 'jet': 3}",vehicles
2316498,jacket,suit,"{'jacket': 14, 'suit': 13, 'coat': 1}",clothing
2316499,car,hood,"{'car': 25, 'hood': 3, 'vehicle': 3, 'automobile': 1}",vehicles
2316504,sink,counter,"{'sink': 23, 'counter': 7, 'vanity': 3}",home
2316506,dog,,{'dog': 35},animals_plants
2316508,shirt,,{'shirt': 32},clothing
2316509,man,snowboarder,"{'man': 21, 'snowboarder': 8, 'person': 3, 'skier': 2}",people
2316525,table,,{'table': 34},home
2316529,skateboarder,skater,"{'skateboarder': 10, 'skater': 6, 'man': 5, 'boy': 3, 'person': 3}",people
2316538,truck,,{'truck': 34},vehicles
2316540,airplane,plane,"{'airplane': 22, 'plane': 12}",vehicles
2316542,jacket,shirt,"{'jacket': 21, 'shirt': 7, 'coat': 1, 'dress': 1}",clothing
2316548,train,train car,"{'train': 30, 'train engine': 2, 'train car': 2}",vehicles
2316552,horse,,{'horse': 32},animals_plants
2316560,train,bus,"{'train': 19, 'bus': 5, 'tolly': 3}",vehicles
2316562,cow,,{'cow': 33},animals_plants
2316566,airplane,plane,"{'airplane': 21, 'plane': 12}",vehicles
2316572,giraffe,,{'giraffe': 29},animals_plants
2316574,shirt,,{'shirt': 30},clothing
2316575,giraffe,,{'giraffe': 32},animals_plants
2316577,shirt,,{'shirt': 30},clothing
2316581,man,guy,"{'man': 27, 'guy': 2, 'male': 1, 'human': 1, 'person': 1}",people
2316586,couch,sofa,"{'couch': 22, 'sofa': 4}",home
2316589,vase,glass,"{'vase': 24, 'glass': 4, 'jar': 4, 'bottle': 3}",home
2316590,cat,feline,"{'cat': 29, 'feline': 1}",animals_plants
2316591,desk,table,"{'desk': 24, 'table': 7}",home
2316592,dog,,{'dog': 27},animals_plants
2316593,curtain,curtains,"{'curtain': 20, 'curtains': 11, 'screen': 2}",home
2316597,bird,duck,"{'bird': 33, 'duck': 2}",animals_plants
2316599,bridge,,{'bridge': 33},buildings
2316601,boy,pitcher,"{'boy': 9, 'pitcher': 4, 'child': 4, 'baseball player': 4, 'person': 3, 'baseman': 2, 'kid': 2, 'player': 2}",people
2316609,horse,,{'horse': 29},animals_plants
2316611,dresser,table,"{'dresser': 10, 'table': 5, 'drawers': 4, 'cabinet': 4, 'wooden': 2, 'box': 2, 'wood': 2, 'rack': 2}",home
2316612,bowl,plate,"{'bowl': 26, 'plate': 2, 'dish': 1}",home
2316615,boy,man,"{'boy': 9, 'man': 9, 'person': 5, 'teenager': 3, 'kid': 2}",people
2316618,sandwich,food,"{'sandwich': 22, 'food': 5, 'sub': 2}",food
2316621,boat,ship,"{'boat': 30, 'ship': 3}",vehicles
2316624,counter,kitchen counter,"{'counter': 18, 'kitchen counter': 3, 'countertop': 2}",home
2316625,cat,,{'cat': 31},animals_plants
2316626,woman,tennis player,"{'woman': 16, 'tennis player': 7, 'person': 6, 'player': 5}",people
2316628,hotdog,food,"{'hotdog': 12, 'food': 5, 'sandwich': 2}",food
2316629,food,soup,"{'food': 13, 'soup': 12}",food
2316630,cat,,{'cat': 32},animals_plants
2316635,dog,,{'dog': 36},animals_plants
2316638,giraffe,,{'giraffe': 33},animals_plants
2316639,surfer,man,"{'surfer': 24, 'man': 6, 'person': 2, 'boy': 2}",people
2316644,suit,jacket,"{'suit': 14, 'jacket': 13, 'suit jacket': 2}",clothing
2316647,bed,,{'bed': 34},home
2316648,salad,food,"{'salad': 19, 'food': 7}",food
2316650,airplane,plane,"{'airplane': 15, 'plane': 15, 'jet': 4}",vehicles
2316651,horse,animal,"{'horse': 30, 'animal': 2}",animals_plants
2316658,motorcycle,bike,"{'motorcycle': 19, 'bike': 10, 'scooter': 3, 'motorbike': 1}",vehicles
2316663,truck,,{'truck': 28},vehicles
2316668,man,person,"{'man': 14, 'person': 3, 'human': 1}",people
2316669,bed,,{'bed': 32},home
2316672,bowl,,{'bowl': 28},home
2316677,bowl,,{'bowl': 22},home
2316682,zebra,,{'zebra': 36},animals_plants
2316687,counter,cabinet,"{'counter': 10, 'cabinet': 9, 'sink': 3, 'countertop': 3, 'table': 1}",home
2316691,shirt,jersey,"{'shirt': 10, 'jersey': 7, 't-shirt': 6, 'uniform': 4}",clothing
2316694,airplane,plane,"{'airplane': 22, 'plane': 11}",vehicles
2316700,train,,{'train': 35},vehicles
2316702,train,,{'train': 36},vehicles
2316708,train,train car,"{'train': 25, 'train car': 8}",vehicles
2316710,woman,lady,"{'woman': 28, 'lady': 3, 'person': 2, 'girl': 2, 'female': 1}",people
2316720,bench,furniture,"{'bench': 23, 'furniture': 2}",home
2316730,shirt,jacket,"{'shirt': 28, 'jacket': 2}",clothing
2316735,cookie jar,toy,"{'cookie jar': 6, 'toy': 5, 'jar': 5, 'chicken': 4, 'bird': 4, 'container': 3, 'canister': 2, 'pot': 2, 'teapot': 2}",home
2316742,cow,animal,"{'cow': 27, 'animal': 3}",animals_plants
2316743,church,building,"{'church': 18, 'building': 11, 'clock tower': 2}",buildings
2316744,microwave,,{'microwave': 14},home
2316750,horse,animal,"{'horse': 30, 'animal': 3, 'pony': 2}",animals_plants
2316753,man,tennis player,"{'man': 15, 'tennis player': 6, 'person': 4, 'player': 3}",people
2316754,boat,canoe,"{'boat': 28, 'canoe': 4, 'rowboat': 3}",vehicles
2316757,boy,man,"{'boy': 9, 'man': 7, 'person': 4, 'teenager': 4, 'teen': 3, 'male': 1}",people
2316762,giraffe,head,"{'giraffe': 30, 'head': 2}",animals_plants
2316763,child,boy,"{'child': 14, 'boy': 12, 'kid': 3, 'girl': 2, 'person': 1}",people
2316768,pizza,snack,"{'pizza': 31, 'snack': 2, 'food': 2}",food
2316772,sandwich,food,"{'sandwich': 18, 'food': 4, 'bread': 2}",food
2316781,man,pilot,"{'man': 21, 'pilot': 9}",people
2316785,trolley,train,"{'trolley': 14, 'train': 11, 'bus': 2, 'tram': 2, 'vehicle': 2, 'streetcar': 1}",vehicles
2316787,woman,person,"{'woman': 17, 'person': 2}",people
2316790,car,machine,"{'car': 24, 'machine': 1}",vehicles
2316797,sheep,animal,"{'sheep': 11, 'animal': 6, 'ram': 2}",animals_plants
2316799,pizza,,{'pizza': 35},food
2316806,plane,airplane,"{'plane': 18, 'airplane': 16}",vehicles
2316807,man,skier,"{'man': 16, 'skier': 8, 'water skier': 4, 'person': 3}",people
2316808,pizza,food,"{'pizza': 31, 'food': 3}",food
2316809,man,person,"{'man': 18, 'person': 5}",people
2316813,man,tennis player,"{'man': 20, 'tennis player': 6, 'player': 4, 'person': 2}",people
2316816,table,,{'table': 31},home
2316817,woman,person,"{'woman': 24, 'person': 3}",people
2316820,cow,,{'cow': 30},animals_plants
2316822,face,head,"{'face': 13, 'head': 8}",people
2316823,horse,,{'horse': 30},animals_plants
2316825,woman,soccer player,"{'woman': 8, 'soccer player': 5, 'person': 4, 'player': 4}",people
2316836,table,counter,"{'table': 15, 'counter': 10}",home
2316837,bench,chair,"{'bench': 32, 'chair': 3}",home
2316845,train,,{'train': 35},vehicles
2316854,bird,toucan,"{'bird': 16, 'toucan': 9, 'cage': 2}",animals_plants
2316861,man,person,"{'man': 22, 'person': 4, 'monk': 2, 'human': 1}",people
2316864,child,person,"{'child': 7, 'person': 5, 'boy': 5, 'girl': 4, 'athlete': 3, 'player': 3, 'woman': 3, 'soccer player': 3, 'kid': 1}",people
2316869,woman,person,"{'woman': 22, 'person': 2, 'female': 1}",people
2316880,giraffe,,{'giraffe': 28},animals_plants
2316881,plane,airplane,"{'plane': 18, 'airplane': 15}",vehicles
2316884,cat,,{'cat': 32},animals_plants
2316885,car,,{'car': 34},vehicles
2316886,dog,,{'dog': 32},animals_plants
2316892,sandwich,food,"{'sandwich': 31, 'food': 2}",food
2316893,truck,tow truck,"{'truck': 25, 'tow truck': 3, 'van': 2}",vehicles
2316902,skateboarder,man,"{'skateboarder': 11, 'man': 10, 'skater': 6, 'person': 3}",people
2316907,duck,bird,"{'duck': 22, 'bird': 6}",animals_plants
2316911,couch,sofa,"{'couch': 29, 'sofa': 6}",home
2316918,cat,,{'cat': 32},animals_plants
2316920,woman,person,"{'woman': 22, 'person': 3, 'girl': 2, 'female': 1}",people
2316932,jacket,coat,"{'jacket': 23, 'coat': 7}",clothing
2316940,woman,head,"{'woman': 21, 'face': 2, 'head': 2, 'class': 1}",people
2316941,curtain,screen,"{'curtain': 15, 'screen': 1}",home
2316945,bridge,,{'bridge': 33},buildings
2316948,pizza,food,"{'pizza': 22, 'slice': 3, 'food': 3, 'pizza slice': 2}",food
2316952,motorcycle,bike,"{'motorcycle': 15, 'bike': 14, 'motorbike': 1}",vehicles
2316957,woman,,{'woman': 29},people
2316962,plane,airplane,"{'plane': 17, 'airplane': 17}",vehicles
2316965,bed,,{'bed': 31},home
2316968,couch,sofa,"{'couch': 12, 'sofa': 9, 'chair': 7, 'bed': 1}",home
2316969,pottery,vase,"{'pottery': 9, 'vase': 8, 'vases': 4, 'art': 2}",home
2316979,pizza,slice,"{'pizza': 30, 'slice': 2}",food
2316986,man,skateboarder,"{'man': 12, 'skateboarder': 9, 'skater': 4, 'person': 4}",people
2316987,train,,{'train': 35},vehicles
2317002,dog,,{'dog': 36},animals_plants
2317003,dog,,{'dog': 32},animals_plants
2317005,cake,frosting,"{'cake': 31, 'frosting': 2}",food
2317008,child,girl,"{'child': 16, 'girl': 7, 'kid': 3, 'toddler': 3, 'baby': 2}",people
2317017,car,,{'car': 29},vehicles
2317019,girl,child,"{'girl': 18, 'child': 5, 'person': 3}",people
2317020,bed,sofa,"{'bed': 21, 'sofa': 4, 'futon': 3, 'couch': 2, 'furniture': 2}",home
2317021,bridge,,{'bridge': 30},buildings
2317026,soup,food,"{'soup': 22, 'food': 6, 'bowl': 4}",food
2317031,woman,person,"{'woman': 23, 'person': 5, 'girl': 3}",people
2317032,chair,seat,"{'chair': 24, 'seat': 4}",home
2317034,shirt,jacket,"{'shirt': 20, 'jacket': 11, 'sweater': 2}",clothing
2317036,boy,skater,"{'boy': 12, 'skater': 8, 'man': 3, 'kid': 3, 'skateboarder': 3, 'child': 2}",people
2317048,vase,,{'vase': 35},home
2317058,curtain,shower curtain,"{'curtain': 25, 'shower curtain': 7, 'screen': 2}",home
2317071,airplane,plane,"{'airplane': 22, 'plane': 12}",vehicles
2317073,airplane,plane,"{'airplane': 20, 'plane': 15}",vehicles
2317078,woman,person,"{'woman': 27, 'person': 3}",people
2317084,fork,spoon,"{'fork': 30, 'spoon': 2}",home
2317085,zebra,,{'zebra': 36},animals_plants
2317090,car,suv,"{'car': 16, 'suv': 11, 'vehicle': 3, 'truck': 2, 'automobile': 1}",vehicles
2317093,shirt,jacket,"{'shirt': 8, 'jacket': 8, 'sweatshirt': 5, 't-shirt': 4, 'hoodie': 2, 'dress': 1}",clothing
2317099,plane,airplane,"{'plane': 16, 'airplane': 15}",vehicles
2317103,train,,{'train': 34},vehicles
2317109,truck,car,"{'truck': 25, 'car': 8}",vehicles
2317113,pizza,food,"{'pizza': 23, 'food': 10}",food
2317114,skier,person,"{'skier': 21, 'person': 5, 'man': 2, 'child': 2}",people
2317130,knife,,{'knife': 29},home
2317134,boat,sailboat,"{'boat': 23, 'sailboat': 4, 'ship': 2}",vehicles
2317139,woman,person,"{'woman': 23, 'person': 3, 'girl': 2}",people
2317143,giraffe,,{'giraffe': 31},animals_plants
2317148,woman,girl,"{'woman': 14, 'girl': 11, 'female': 1}",people
2317153,dog,,{'dog': 30},animals_plants
2317155,shirt,,{'shirt': 30},clothing
2317160,chair,,{'chair': 35},home
2317166,donut,,{'donut': 36},food
2317177,cat,legs,"{'cat': 30, 'legs': 2}",animals_plants
2317178,cake,,{'cake': 35},food
2317182,bowl,,{'bowl': 26},home
2317185,skateboarder,man,"{'skateboarder': 8, 'skater': 5, 'man': 5, 'boy': 4, 'person': 4, 'skating': 3}",people
2317187,sheep,lamb,"{'sheep': 29, 'lamb': 2}",animals_plants
2317190,pizza,food,"{'pizza': 21, 'food': 2}",food
2317194,airplane,plane,"{'airplane': 20, 'plane': 12}",vehicles
2317202,giraffe,,{'giraffe': 32},animals_plants
2317203,airplane,plane,"{'airplane': 22, 'plane': 9, 'plain': 2}",vehicles
2317207,shirt,,{'shirt': 32},clothing
2317212,counter,bar,"{'counter': 20, 'bar': 6, 'table': 1}",home
2317213,dress,shirt,"{'dress': 23, 'shirt': 3, 'tennis dress': 2}",clothing
2317218,cupcake,cake,"{'cupcake': 29, 'cake': 5}",food
2317223,zebra,,{'zebra': 30},animals_plants
2317234,girl,child,"{'girl': 23, 'child': 4}",people
2317238,zebra,,{'zebra': 35},animals_plants
2317240,truck,,{'truck': 28},vehicles
2317243,train,,{'train': 36},vehicles
2317245,man,pitcher,"{'man': 11, 'pitcher': 8, 'player': 6, 'person': 3, 'baseball player': 3}",people
2317249,bird,dove,"{'bird': 27, 'dove': 4}",animals_plants
2317251,boat,,{'boat': 31},vehicles
2317253,bed,,{'bed': 34},home
2317254,horse,horses,"{'horse': 23, 'horses': 9}",animals_plants
2317257,bed,,{'bed': 26},home
2317259,house,building,"{'house': 18, 'building': 1}",buildings
2317262,giraffe,animal,"{'giraffe': 30, 'animal': 2}",animals_plants
2317270,boy,child,"{'boy': 17, 'child': 7, 'toddler': 3, 'kid': 2}",people
2317272,bench,chair,"{'bench': 32, 'chair': 4}",home
2317273,desk,table,"{'desk': 26, 'table': 2, 'desktop': 2}",home
2317278,bench,,{'bench': 31},home
2317283,dog,,{'dog': 33},animals_plants
2317284,dugout,,{'dugout': 25},buildings
2317285,giraffe,,{'giraffe': 33},animals_plants
2317288,bottle,water bottle,"{'bottle': 27, 'water bottle': 6, 'water': 3}",home
2317291,giraffe,,{'giraffe': 31},animals_plants
2317292,cake,,{'cake': 33},food
2317293,bed,mattress,"{'bed': 25, 'mattress': 3}",home
2317307,skater,skateboarder,"{'skater': 10, 'skateboarder': 7, 'man': 5, 'person': 5, 'boy': 3}",people
2317311,child,skier,"{'child': 17, 'skier': 6, 'child skier': 2, 'kid': 2, 'person': 2, 'boy': 2, 'baby': 1}",people
2317320,woman,girl,"{'woman': 22, 'girl': 8}",people
2317321,skateboarder,skater,"{'skater': 9, 'skateboarder': 9, 'boy': 8, 'person': 3, 'kid': 2, 'child': 2, 'guy': 2}",people
2317329,shirt,t-shirt,"{'shirt': 26, 't-shirt': 8}",clothing
2317330,peacock,bird,"{'peacock': 29, 'bird': 3}",animals_plants
2317331,bed,quilt,"{'bed': 29, 'quilt': 4, 'blanket': 2}",home
2317334,bridge,overpass,"{'bridge': 24, 'overpass': 4, 'structure': 1}",buildings
2317335,bench,chair,"{'bench': 31, 'chair': 2}",home
2317343,jacket,shirt,"{'jacket': 27, 'shirt': 8}",clothing
2317347,pizza,,{'pizza': 36},food
2317350,giraffe,,{'giraffe': 36},animals_plants
2317352,couch,sofa,"{'couch': 24, 'sofa': 9}",home
2317359,airplane,plane,"{'airplane': 21, 'plane': 14}",vehicles
2317361,couch,sofa,"{'couch': 25, 'sofa': 10}",home
2317365,pizza,food,"{'pizza': 33, 'food': 2}",food
2317366,carpet,floor,"{'carpet': 11, 'floor': 6, 'stage': 4, 'rug': 3}",home
2317370,counter,desk,"{'counter': 17, 'desk': 6, 'table': 5}",home
2317372,chair,lounge chair,"{'chair': 19, 'lounge chair': 3, 'lounger': 2}",home
2317373,sheep,animals,"{'sheep': 30, 'animals': 2}",animals_plants
2317375,motorcycle,bike,"{'motorcycle': 22, 'bike': 6, 'motorbike': 2}",vehicles
2317378,shirt,t-shirt,"{'shirt': 30, 't-shirt': 5}",clothing
2317381,man,person,"{'man': 24, 'person': 4, 'father': 2}",people
2317384,pizza,food,"{'pizza': 22, 'food': 5, 'cheese': 2, 'meat': 2, 'topping': 2}",food
2317389,bridge,overpass,"{'bridge': 27, 'overpass': 6}",buildings
2317392,car,automobile,"{'car': 34, 'automobile': 1}",vehicles
2317394,knife,,{'knife': 33},home
2317395,cake,,{'cake': 34},food
2317396,man,person,"{'man': 32, 'person': 1}",people
2317398,train,,{'train': 36},vehicles
2317400,horse,,{'horse': 34},animals_plants
2317404,bird,,{'bird': 32},animals_plants
2317414,spoon,,{'spoon': 32},home
2317426,table,,{'table': 27},home
2317427,giraffe,,{'giraffe': 33},animals_plants
2317433,bench,,{'bench': 28},home
2317447,sandwich,food,"{'sandwich': 28, 'food': 3, 'bread': 3}",food
2317452,woman,person,"{'woman': 26, 'person': 3, 'lady': 2}",people
2317458,giraffe,,{'giraffe': 34},animals_plants
2317459,food,appetizer,"{'food': 23, 'appetizer': 4, 'fruit': 3, 'salad': 2, 'fruit salad': 2}",food
2317461,bed,,{'bed': 34},home
2317462,giraffe,,{'giraffe': 30},animals_plants
2317468,tie,necktie,"{'tie': 32, 'necktie': 3}",clothing
2317471,dress,,{'dress': 28},clothing
2317472,boat,ship,"{'boat': 30, 'ship': 3}",vehicles
2317476,man,person,"{'man': 25, 'person': 2, 'human': 1}",people
2317477,couch,sofa,"{'couch': 14, 'sofa': 10}",home
2317478,cat,,{'cat': 33},animals_plants
2317481,horse,,{'horse': 34},animals_plants
2317489,car,vehicle,"{'car': 26, 'vehicle': 5, 'suv': 2, 'van': 2, 'automobile': 1}",vehicles
2317491,man,person,"{'man': 28, 'person': 3, 'male': 1}",people
2317497,baseball player,batter,"{'baseball player': 6, 'athlete': 5, 'batter': 5, 'player': 5, 'person': 4, 'man': 4}",people
2317500,giraffe,,{'giraffe': 35},animals_plants
2317502,dog,,{'dog': 34},animals_plants
2317504,curtain,shower curtain,"{'curtain': 20, 'shower curtain': 14, 'shower': 2}",home
2317513,truck,car,"{'truck': 28, 'car': 6}",vehicles
2317521,pizza,,{'pizza': 32},food
2317524,giraffe,,{'giraffe': 33},animals_plants
2317529,table,counter,"{'table': 16, 'counter': 8}",home
2317530,bench,,{'bench': 34},home
2317533,shirt,blouse,"{'shirt': 25, 'blouse': 4, 'dress': 2}",clothing
2317541,train,,{'train': 35},vehicles
2317542,table,,{'table': 32},home
2317549,bridge,,{'bridge': 30},buildings
2317554,pizza,food,"{'pizza': 31, 'cheese': 2, 'food': 2}",food
2317561,chair,,{'chair': 35},home
2317566,car,vehicle,"{'car': 31, 'vehicle': 2}",vehicles
2317569,counter,table,"{'counter': 9, 'table': 9, 'countertop': 4}",home
2317571,jacket,coat,"{'jacket': 19, 'coat': 8}",clothing
2317577,couch,sofa,"{'couch': 19, 'sofa': 8, 'bed': 3, 'futon': 2}",home
2317578,woman,female,"{'woman': 30, 'female': 1}",people
2317582,couch,sofa,"{'couch': 30, 'sofa': 4}",home
2317583,truck,car,"{'truck': 23, 'vehicle': 2, 'car': 2, 'pickup truck': 2}",vehicles
2317588,carpet,rug,"{'carpet': 13, 'rug': 12, 'floor': 4}",home
2317594,horse,,{'horse': 36},animals_plants
2317595,train,,{'train': 35},vehicles
2317596,pot,planter,"{'pot': 12, 'planter': 10, 'flower pot': 5, 'container': 2, 'bucket': 2, 'vase': 2}",home
2317613,pizza,slice,"{'pizza': 25, 'slice': 3, 'food': 2}",food
2317614,bed,,{'bed': 28},home
2317622,man,guy,"{'man': 28, 'guy': 2, 'person': 2, 'human': 1}",people
2317623,hotdog,food,"{'hotdog': 27, 'food': 3, 'sandwich': 2}",food
2317626,sheep,,{'sheep': 35},animals_plants
2317633,table,counter,"{'table': 17, 'counter': 4, 'countertop': 3, 'furniture': 1}",home
2317636,dog,,{'dog': 31},animals_plants
2317641,jacket,coat,"{'jacket': 19, 'coat': 11}",clothing
2317642,boy,child,"{'boy': 14, 'child': 10, 'kid': 5, 'toddler': 3}",people
2317647,man,male,"{'man': 27, 'male': 1}",people
2317656,airplane,plane,"{'airplane': 21, 'plane': 11, 'jet': 2}",vehicles
2317670,table,,{'table': 32},home
2317674,building,castle,"{'building': 23, 'castle': 5, 'church': 3, 'cathedral': 2}",buildings
2317677,curtain,screen,"{'curtain': 22, 'screen': 1}",home
2317679,giraffe,animal,"{'giraffe': 33, 'animal': 2}",animals_plants
2317681,airplane,plane,"{'airplane': 17, 'plane': 16}",vehicles
2317684,woman,,{'woman': 30},people
2317685,horse,donkey,"{'horse': 22, 'donkey': 9, 'animal': 3}",animals_plants
2317686,croissant,bread,"{'croissant': 23, 'bread': 7, 'food': 3, 'roll': 1, 'bun': 1}",food
2317693,bird,,{'bird': 30},animals_plants
2317701,boat,,{'boat': 34},vehicles
2317702,boat,sailboat,"{'boat': 31, 'sailboat': 3}",vehicles
2317706,train,subway,"{'train': 30, 'subway': 2}",vehicles
2317707,giraffe,,{'giraffe': 35},animals_plants
2317714,cat,,{'cat': 36},animals_plants
2317715,man,player,"{'man': 12, 'player': 8, 'tennis player': 5, 'person': 2}",people
2317716,car,vehicle,"{'car': 31, 'vehicle': 4}",vehicles
2317727,fork,,{'fork': 31},home
2317740,car,,{'car': 35},vehicles
2317742,man,skater,"{'man': 17, 'skater': 8, 'skateboarder': 5, 'person': 3}",people
2317743,hotdog,food,"{'hotdog': 25, 'food': 3, 'sandwich': 2}",food
2317752,building,house,"{'building': 28, 'house': 2}",buildings
2317760,jacket,coat,"{'jacket': 24, 'coat': 7}",clothing
2317764,cat,,{'cat': 33},animals_plants
2317771,desk,table,"{'desk': 21, 'desktop': 2, 'table': 2}",home
2317774,cat,,{'cat': 34},animals_plants
2317779,house,,{'house': 30},buildings
2317783,man,player,"{'man': 9, 'player': 7, 'batter': 6, 'baseball player': 3, 'person': 2}",people
2317784,pizza,pizza slice,"{'pizza': 30, 'pizza slice': 4, 'food': 2}",food
2317785,zebra,,{'zebra': 34},animals_plants
2317786,dog,,{'dog': 31},animals_plants
2317792,airplane,plane,"{'airplane': 21, 'plane': 14}",vehicles
2317793,grill,food,"{'grill': 28, 'food': 3}",buildings
2317794,woman,girl,"{'woman': 16, 'girl': 8, 'person': 4}",people
2317805,plane,airplane,"{'plane': 21, 'airplane': 9}",vehicles
2317819,pizza,,{'pizza': 35},food
2317821,woman,person,"{'woman': 16, 'person': 4, 'athlete': 2, 'skier': 2}",people
2317822,car,vehicle,"{'car': 31, 'vehicle': 3}",vehicles
2317824,pizza,cheese,"{'pizza': 16, 'cheese': 10, 'food': 7}",food
2317825,girl,child,"{'girl': 21, 'child': 6, 'person': 2, 'woman': 2}",people
2317827,train,train car,"{'train': 30, 'train car': 3}",vehicles
2317830,horse,,{'horse': 35},animals_plants
2317836,shirt,t-shirt,"{'shirt': 12, 't-shirt': 4}",clothing
2317839,couch,sofa,"{'couch': 23, 'sofa': 12, 'bed': 1}",home
2317844,horse,,{'horse': 34},animals_plants
2317845,train,train engine,"{'train': 31, 'train engine': 2}",vehicles
2317852,motorcycle,bike,"{'motorcycle': 25, 'bike': 4, 'motorbike': 2}",vehicles
2317854,owl,bird,"{'owl': 27, 'bird': 5}",animals_plants
2317855,couch,sofa,"{'couch': 22, 'sofa': 7, 'blanket': 2, 'futon': 2}",home
2317859,giraffe,,{'giraffe': 34},animals_plants
2317860,man,guy,"{'man': 28, 'guy': 2, 'person': 1}",people
2317863,cat,,{'cat': 27},animals_plants
2317865,desk,cubicle,"{'desk': 25, 'table': 2, 'cubicle': 2}",home
2317871,chair,stool,"{'chair': 28, 'stool': 4}",home
2317878,woman,person,"{'woman': 21, 'person': 2}",people
2317879,skateboarder,man,"{'skateboarder': 12, 'man': 8, 'skater': 7, 'boy': 3, 'kid': 2}",people
